Time,south_north,west_east,XLAT,XLONG,XTIME,T2
0,2,47,26.915268,-79.548035,2024-08-25,301.54172
0,2,48,26.854076,-79.257935,2024-08-25,301.59036
0,2,49,26.791958,-78.96832,2024-08-25,301.72437
0,2,50,26.728935,-78.67926,2024-08-25,302.18765
0,2,51,26.66499,-78.390686,2024-08-25,301.90964
0,2,52,26.600151,-78.10263,2024-08-25,301.77258
0,2,53,26.534412,-77.815125,2024-08-25,301.7708
0,2,54,26.46775,-77.52811,2024-08-25,301.82983
0,2,55,26.400219,-77.24164,2024-08-25,302.2008
0,2,56,26.331795,-76.95575,2024-08-25,301.31552
0,2,57,26.262466,-76.67035,2024-08-25,301.31305
0,2,58,26.192268,-76.38556,2024-08-25,301.5221
0,2,59,26.12117,-76.10132,2024-08-25,301.50568
0,2,60,26.049217,-75.81763,2024-08-25,301.37405
0,2,61,25.97638,-75.534485,2024-08-25,301.53122
0,2,62,25.90268,-75.25195,2024-08-25,301.7724
0,2,63,25.82811,-74.96997,2024-08-25,301.65955
0,2,64,25.752678,-74.6886,2024-08-25,301.68484
0,2,65,25.6764,-74.40784,2024-08-25,301.78235
0,2,66,25.599243,-74.127625,2024-08-25,301.7316
0,2,67,25.521255,-73.84805,2024-08-25,301.81784
0,2,68,25.442406,-73.56906,2024-08-25,301.9842
0,2,69,25.36274,-73.29071,2024-08-25,301.88568
0,2,70,25.282219,-73.01294,2024-08-25,301.66742
0,2,71,25.200867,-72.73581,2024-08-25,302.00446
0,2,72,25.118698,-72.45929,2024-08-25,302.0628
0,3,0,28.974373,-93.59888,2024-08-25,303.3894
0,3,1,28.959103,-93.29239,2024-08-25,303.48624
0,3,2,28.94281,-92.98602,2024-08-25,303.6678
0,3,3,28.925484,-92.67981,2024-08-25,303.62167
0,3,4,28.90715,-92.37375,2024-08-25,303.37924
0,3,5,28.88778,-92.06787,2024-08-25,302.93414
0,3,6,28.867401,-91.762146,2024-08-25,302.44806
0,3,7,28.846,-91.456604,2024-08-25,301.9298
0,3,8,28.823582,-91.151245,2024-08-25,301.9407
0,3,9,28.800144,-90.84607,2024-08-25,302.43237
0,3,10,28.775684,-90.54114,2024-08-25,302.40097
0,3,11,28.750206,-90.23642,2024-08-25,302.26022
0,3,12,28.723732,-89.931915,2024-08-25,302.13202
0,3,13,28.696243,-89.627655,2024-08-25,302.0346
0,3,14,28.667732,-89.32364,2024-08-25,301.98987
